Dexterity,,"Evasion (Reaction) - 1/2 damage on failed Dodge save, No damage on succesful one",,,,,,,,,Mobility Utility - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Full Dex Mod for Mainhand Finesse Damage Rolls?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Bonus AP - Cunning Action - Hide, Disengage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Technique - Range Increase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intellect,,Keen Mind (feat) - Feature,,,,,,,,,Control Utility - Spell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Short Rest Caster Weapon Recharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Technique - Area Size Increase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisdom,,Focus - WP Recover during Combat,,,,,,,,,Buff Utility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Greater Restoration - Ability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Technique - WP Cost Reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charisma,,Mass Suggestion - Ability,,,,,,,,,Buff Utility - Control Utility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Technique - Effect Duration Increase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constitution,,Indomitable - (DND 5e Fighter) Ability/Feature,,,,,,,,,Defensive Utility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Warcaster (Feat) - Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cooldown on Second Wind reset on Short Rest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milestone - 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strength,,"Multi Attack with Heavy, Versatile, or Weapons without the Finesse or Light Property.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 Action Grapple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Bonus AP - Mighty Action - Shove, Climb, or Leap (Leaper Feat?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexterity,,Multi Attack with Ranged and Light and/or Finesse Melee Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leap/Climb gain full Dex Bonuses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Safefall - Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disengage Speed Increased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reliable Talent (Dex),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intellect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Bonus AP - Mental Action - Channel, Skill Check (Int, Wis, Cha)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Observant (feat) - Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charisma,,Crit Potency? 10+ fail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constitution,,Last Stand - Ability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Crit Fort Save? 10+ save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capstone - 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strength,,Battle Trance - Ability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reliable Talent (Str),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Technique - Flawless Strikes? - Victims of Attacks that Apply Effects automatically Fail their Saving Throw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexterity,,Bonus AP can be used to Attack or Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weapon Crit Range increased to 19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intellect,,Spell Crit Range increased to 19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bonus AP can be used to Cast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Reliable Talent (Int, Dex, Str)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisdom,,Technique - CD Reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bonus AP can be used to Focus or when Preparing a Reaction?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charisma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Reliable Talent (Wis, Cha)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constitution,,Cheat Death - Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2x Idomitable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Types,,Protection,Armor,Max Dex Bonus,Min Str,,,,,,Attributes,,,Protection,AC,Max Dex Dodge Bonus,,Min Str,,Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothes/Robes,,,0,No Max,NA,,,,,,"Unarmored, Natural",,,,8,No Max,*10,NA,20,"Unarmored, Natural",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloth Armor,,,1,3,NA,,,,,,"Light, Natural",,,,8,3,11,NA,16,"Light, Natural",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padded Armor,,,2,3,9,,,,,,"Light, Dex Skill Penalty, Natural ",,,,9,3,12,9,16,"Light, Dex Skill Penalty, Natural ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leather,,,2,No Max,10,,,,,,"Medium, Natural ",,,,10,No Max,*12,10,20,"Medium, Natural ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studded,,,3,2,11,,,,,,Medium ,,,,11,2,13,11,14,"Medium, Natural ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaled,,1,4,2,12,,,,,,"Medium, Dex Skill Penalty, Natural",,,1,12,2,14,12,14,"Medium, Dex Skill Penalty, Natural",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain,,1,5,1,13,,,,,,"Heavy, Dex Skill Penalty",,,1,14,1,15,13,12,"Heavy, Dex Skill Penalty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half Plate,,2,6,1,14,,,,,,"Heavy, Dex Skill Penalty",,,2,15,1,16,14,12,"Heavy, Dex Skill Penalty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Plate,,3,8,N/A,15,,,,,,"Heavy, Dex Skill Penalty, Bulwark",,,3,17,0,17,15,10,"Heavy, Dex Skill Penalty, Bulwark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unarmored,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Dodge,,Your Dodge can only increase by a maximum of X from your Dex Bonus while wearing this Armor Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulky,,Dex Skill Checks are made with Disadvantage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Strength,,"If your Str does not meat this value, Weight Penalties are incurred while wearing this Armor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight Penalties,Speed Reduction,Your Speed reduced by 1/2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"You cannot add any Attribute Bonuses to DCs, or Attack, Damage, Heal, or Shield Rolls.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Concentration Checks are made with Disadvantage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulwark,,"You are Granted a +3 Bonus to Dodge Saving Throws, but take a -1 Penalty to Speed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12,21,23,17,16,13,14,,18,17,7,26,14,7,14,13,8,1,4,5,7,3,5,6,11,3,2,4,0,3,3,3,14,,4,0,3,3,,,10,14,5,1,8,,,,9,6,,,,,,,,,,,,
,,Power,Damage,Req Str,Req Dex,Req Int,,2h,1h,Melee,Ranged,X/Y Range,Components,Versatile,Slashing,Piercing,Impact,Block,Sweeping,Heavy,,Stances,Sneak Attack?,Guarding?,Finesse,Quickdraw?,Thrown,Light,Swift,Mainhand,Unarmed,Brawling,Whirling / Wind Up,Offhand,Skirmisher?,Quiver,Aim,Heavy Munitions,Deploy,Magazine,Hip Fire,Single Load,Black Powder,Quick Loading,Shield,Weighted,,,,,,,,Shoving,Deadly,Hooked?,Tripping,Pole,,,Gunslinger?,Disarm,Concealed,Primary Casting?,Natural?,Bladed?,,Free Hand,Loading,Bullet,Arrow,,Reserve Ammo,Deadzone,Aquatic?
Axe,Greataxe,1,12,15,,,,2h,,1,,,,,Slashing,,,,Sweeping,Heavy,,Stances,,,,,,,,,,,,,,,,,,,,,,,,Weighted,5,,,,,,,,2d10?,,,,,,,,,,,,,,,,,,,,
,Battleaxe,1,10,12,,,,2h,1h,1,,,,Versatile,Slashing,,,,Sweeping,,,,,,,,,,,,,,,,,,,,,,,,,,,Weighted,4,,,,,,,,d12,,,,,,,,,,,,,,,,,,,,
,1h Battleaxe,1,8,13,,,,2h,1h,1,,,,Versatile,Slashing,,,,Sweeping,,,,,,,,,,,,,,,,,,,,,,,,,,,Weighted,4,,,,,,,,d10,,,,,,,,,,,,,,,,,,,,
Mace,Maul,2,6,15,,,,2h,,1,,,,,,,Impact,,Sweeping,Heavy,,Stances,,,,,,,,,,,,,,,,,,,,,,,,Weighted,5,,,,,,,Shoving,,,,,,,,,,,,,,,,,,,,,
,Battlehammer,3,3,12,,,Engi,2h,1h,1,,,,Versatile,,,Impact,,,Heavy,,,,,,,,,,,,,,,,,,,,,,,,,,Weighted,4,,,,,,,Shoving,,,,,,,,,,,,,,,,,,,,,
,1h Battlehammer,2,4,13,,,Engi,2h,1h,1,,,,Versatile,,,Impact,,,Heavy,,,,,,,,,,,,,,,,,,,,,,,,,,Weighted,4,,,,,,,Shoving,,,,,,,,,,,,,,,,,,,,,
Spear,Lance,1,10,14,10,,,2h,,2,,,,,,Piercing,,,,Heavy,,Stances,,Guarding?,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,Tripping,Pole,,,,,,,,,,,,,,,,,
,Pike,1,12,15,10,,,2h,,2,Deadzone,,,,,Piercing,,,,Heavy,,Stances,,Guarding?,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,Tripping,Pole,,,,,,,,,,,,,,,,,
,Spear,1,8,12,10,,,2h,1h,2,,,,Versatile,,Piercing,,,,,,,,Guarding?,Finesse,,,,,,,,,,Skirmisher?,,,,,,,,,,,,5,,,,,,,,,,Tripping,Pole,,,,,,,,,,,,,,,,,
,1h Spear,1,6,13,10,,,2h,1h,1,Thrown,5/10,,Versatile,,Piercing,,,,,,,,Guarding?,Finesse,,Thrown,,,,,,,,,,,Heavy Munitions,,,,,,,,,6,,,,,,,,,,,Pole,,,,,,,,,,,,,,,,,
Sword,Greatsword,1,12,15,,,,2h,,1,,,,,Slashing,,,1d4,Sweeping,Heavy,,Stances,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Longsword,1,10,12,,,,2h,1h,1,,,,Versatile,Slashing,,,1d4,,,,Stances,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1h Longsword,1,8,13,,,,2h,1h,1,,,,Versatile,Slashing,,,Block,,,,Stances,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nodachi,1,10,12,10,,,2h,,1,,,,,Slashing,,,Block,Sweeping,,,Stances,,,Finesse,Quickdraw?,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,d12,,,,,,,,,,,,,,,,,,,,
,Katana,1,8,10,10,,,2h,1h,1,,,,Versatile,Slashing,,,,,,,,Sneak Attack?,,Finesse,Quickdraw?,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,d10,,,,,,,,,,,,,,,,,,,,
,1h Katana,1,6,13,10,,,2h,1h,1,,,,Versatile,Slashing,,,,,,,,Sneak Attack?,,Finesse,Quickdraw?,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,d8,,,,,,,,,,,,,,,,,,,,
Polearm,Halberd,1,10,15,10,,,2h,,2,,,,,Slashing,Piercing,,,Sweeping,Heavy,,Stances,,Guarding?,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,Hooked?,Tripping,Pole,,,,,,,,,,,,,,,,,
,Glaive,1,8,12,12,,,2h,,2,,,,,Slashing,,,Block,Sweeping,,,Stances,,Guarding?,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,Tripping,Pole,,,,,,,,,,,,,,,,,
,Scythe,1,10,12,10,,Caster,2h,,2,,,,,Slashing,,,,Sweeping,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,Hooked?,Tripping,Pole,,,,,,,,,,,,,,,,,
Staff,Staff,2,4,,,,Caster,2h,,2,,,,,,,Impact,1d4,,,,Stances,,,Finesse,Quickdraw?,,,Swift,,,,,,,,,,,,,,,,,,6,,,,,,,,,,Tripping,Pole,,,,,,,,,,,,,,,,,
,Quarterstaff,2,3,,,,Caster,2h,1h,1,,,,Versatile,,,Impact,Block,,,,,,,Finesse,Quickdraw?,,,Swift,,,,,,,,,,,,,,,,,,6,,,,,,,Shoving,,,,,,,,,Concealed,,,,,,,,,,,,
,1h Quarterstaff,1,4,,,,Caster,2h,1h,1,,,,Versatile,,,Impact,Block,,,,,,,Finesse,Quickdraw?,,,Swift,,,,,,,,,,,,,,,,,,6,,,,,,,Shoving,,,,,,,,,,,,,,,,,,,,,
Axe,Hand Axe,1,6,9,,,,,1h,1,,5/10,,,Slashing,,,,,,,,,,,,Thrown,Light,,,,,,,,,,Heavy Munitions,,,,,,,,Weighted,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pick/Kama,1,6,,,,,,1h,1,,,,,,Piercing,,,,,,,Sneak Attack?,,Finesse,,,Light,,,,,,,,,,,,,,,,,,,4,,,,,,,,d8,Hooked?,,,,,,Disarm,,,,,,,,,,,,,
Mace,Mace,2,4,10,,,Caster,,1h,1,,,,,,,Impact,,,Heavy,,,,,,,,,,,,,,,,,,,,,,,,,,Weighted,3,,,,,,,Shoving,,,,,,,,,,,,,,,,,,,,,
,Morningstar,2,4,13,,,,,1h,1,,,,,,Piercing,Impact,,,Heavy,,,,,,,,,,,,,,,,,,,,,,,,,,Weighted,4,,,,,,,,d6,,,,,,,,,,,,,,,,,,,,
,Hammer,2,3,9,,,Engi,,1h,1,Thrown,5/10,,,,,Impact,,,,,,,,,,Thrown,Light,,,,,,,,,,Heavy Munitions,,,,,,,,Weighted,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spear,Javelin,1,6,9,9,,,,1h,1,Thrown,5/10,,,,Piercing,,,,,,,Sneak Attack?,,Finesse,,Thrown,,,,,,,,,,,Heavy Munitions,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yklwa,1,8,9,9,,,,1h,1,Thrown,2/6,,,,Piercing,,,,,,,,,Finesse,,Thrown,,,,,,,,,,,Heavy Munitions,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trident?,1,6,9,9,,,,1h,1,Thrown,5/10,,,,Piercing,,,,,,,,,Finesse,,Thrown,,,,,,,,,,,Heavy Munitions,,,,,,,,,4,,,,,,,,,,,,,,,Disarm,,,,,,,,,,,,,
Sword,Shortsword,1,6,9,9,,Caster,,1h,1,,,,,,Piercing,,Block,,,,,Sneak Attack?,,Finesse,Quickdraw?,,Light,Swift,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sabre/Scimitar,1,8,11,,,,,1h,1,,,,,Slashing,,,Block,,,,,,,,Quickdraw?,,,,Mainhand,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kopesh,1,6,,,,,,1h,1,,,,,Slashing,,,,Sweeping,,,,,,Finesse,,,Light,Swift,,,,,,,,,,,,,,,,,,5,,,,,,,,,Hooked?,,,,,,Disarm,,,,,,,,,,,,,
,Rapier,1,8,,11,,,,1h,1,,,,,,Piercing,,,,,,,,,Finesse,Quickdraw?,,,Swift,Mainhand,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain,Chain Weapon,1,4,9,12,,,,1h,2,Deadzone,,,,Slashing,,,,Sweeping,,,,,,Finesse,,,Light,,Mainhand,,,Whirling / Wind Up,,,,,,,,,,,,,,6,,,,,,,,,Hooked?,Tripping,,,,,Disarm,,,,,,,,,,,,,
,Whip,1,3,,12,,,,1h,3,Deadzone,,,,Slashing,,,,Sweeping,,,,,,Finesse,,,Light,,Mainhand,,,Whirling / Wind Up,,,,,,,,,,,,,,6,,,,,,,,d6,,Tripping,,,,,Disarm,,,,,,,,,,,,,
,Meteor Hammer?,2,4,13,11,,,2h,,2,Deadzone,,,,,,Impact,,Sweeping,Heavy,,,,,Finesse,,,,,,,,Whirling / Wind Up,,,,,,,,,,,,,Weighted,6,,,,,,,,,,Tripping,,,,,Disarm,,,,,,,,,,,,,
,Flail,2,4,13,9,,,,1h,1,,,,,,,Impact,,,Heavy,,,,,,,,,,,,,Whirling / Wind Up,,,,,,,,,,,,,Weighted,4,,,,,,,,,,,,,,,Disarm,,,,,,,,,,,,,
Fist,Unarmed,1,4,,,,,,1h,1,,,,,,,Impact,,,,,Stances,Sneak Attack?,,Finesse,,,Light,Swift,,Unarmed,Brawling,,Offhand,,,,,,,,,,,,,9,,,,,,,Shoving,,,,,,,,,Concealed,,,,,,,,,,,,
,Katar,1,6,,9,,,,1h,1,,,,,,Piercing,,,,,,Stances,Sneak Attack?,,Finesse,,,Light,Swift,,,Brawling,,Offhand,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Claws,1,6,,9,,Caster,,1h,1,,,,,Slashing,,,,,,,Stances,Sneak Attack?,,Finesse,,,Light,Swift,,,Brawling,,Offhand,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heavy Fist,2,4,13,,,Engi,,1h,1,,,,,,,Impact,Block,,Heavy,,Stances,,,,,,,,,,Brawling,,Offhand,,,,,,,,,,,,Weighted,7,,,,,,,Shoving,,,,,,,,,,,,,,,,,,,,,
Dagger,Dagger,1,4,,9,,Caster,,1h,1,Thrown,5/10,,,,Piercing,,,,,,,Sneak Attack?,,Finesse,Quickdraw?,Thrown,Light,Swift,Mainhand,,,,Offhand,,,,,,,,,,,,,9,,,,,,,,d10,,,,,,,,Concealed,,,,,,,,,,,,
,Main Gauche,1,4,,10,,,,1h,1,Thrown,5/10,,,Slashing,Piercing,,Block,,,,,Sneak Attack?,,Finesse,Quickdraw?,,Light,Swift,,,,,Offhand,,,,,,,,,,,,,9,,,,,,,,,,,,,,,Disarm,Concealed,,,,,,,,,,,,
,Sai,1,4,,10,,,,1h,1,,,,,,Piercing,Impact,Block,,,,,Sneak Attack?,,Finesse,Quickdraw?,,Light,Swift,,,,,Offhand,,,,,,,,,,,,,9,,,,,,,,,,,,,,,Disarm,Concealed,,,,,,,,,,,,
,Sickle/???,1,6,,9,,Caster,,1h,1,,,,,Slashing,,,,,,,,Sneak Attack?,,Finesse,,,Light,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bow,Short Bow,1,4,,11,,,2h,,,Point Blank,7/14,,,,Piercing,,,,,,,Sneak Attack?,,,Quickdraw?,,,Swift,,,,,,Skirmisher?,Quiver,Aim,,,,Hip Fire,,,,,,8,,,,,,,,d6,,,,,,,,,,,,,,,,,,,,
,Long Bow,1,6,9,12,,,2h,,,Deadzone,9/18,,,,Piercing,,,,,,,Sneak Attack?,,,,,,,,,,,,,Quiver,Aim,,,,,,,,,,4,,,,,,,,d8,,,,,,,,,,,,,,,,,,,,
Sniper,Crossbow,1,8,9,11,,,2h,,,Deadzone,10/20,,,,Piercing,,,,,,,Sneak Attack?,,,,,,,,,,,,,Quiver,Aim,Heavy Munitions,Deploy,,,,,Single Load?,,,7,,,,,,,,d10,,,,,,,,,,,,,,,,,,,,
,Sniper Rifle,1,8,,12,9,Engi,2h,,,Deadzone,20/40,,,,Piercing,,,,,,,,,,,,,,,,,,,,,Aim,,Deploy,,,,,Single Load?,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rifle,Carbine,1,6,,10,10,Engi,2h,,,Deadzone,8/16,,,,Piercing,,,,,,,,,,,,,,,,,,,,,Aim,,,Magazine,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Gun,Heavy Gun,2,4,10,,9,Engi,2h,,,Point Blank,6/24,,,,,Impact,,,Heavy,,,,,,,,,,,,,,,,,,Heavy Munitions,Deploy,Magazine,Hip Fire,,Black Powder,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
